De / Het,Dutch,English,,Source,Level
de,schrijfster,the,writer,(female),
de,student,the,student,,
de,studente,the,student,(female),
de,directeur,the,director,,
de,carrière,the,career,,
het,model,the,model,,
de,kunstenaar,the,artist,,
de,werkster,the,maid,,
de,kunstenares,the,artist,(female),
de,werknemer,the,employee,,
de,werkgever,the,employer,,
***,Occupations,Occupations,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/20/),
de,politie,the,police,,
de,advocaat,the,lawyer,,
het,personeel,the,staff,,
de,secretaresse,the,secretary,(female),
de,rechter,the,judge,,
de,secretaris,the,secretary,,
de,burgemeester,the,mayor,,
de,soldaat,the,soldier,,
de,baas,the,boss,,
het,beroep,the,profession,,
de,boer,the,farmer,,
de,architect,the,architect,,
de,serveerster,the,waitress,,
de,kok,the,cook,,
de,ingenieur,the,engineer,,
***,Occupation,Occupation,III,(/course/356041/dutch-duolingo-de-or-het-vocabulary/21/),
de,kapitein,the,captain,,
de,bewaker,the,guard,,
de,acteur,the,actor,,
de,actrice,the,actress,,
de,koning,the,king,,
***,Family,Family,I,(/course/356041/dutch-duolingo-de-or-het-vocabulary/22/),
de,ouder,the,parent,,
de,zus,the,sister,,
de,broer,the,brother,,
de,dochter,the,daughter,,
de,zoon,the,son,,
de,vader,the,father,,
de,moeder,the,mother,,
het,huwelijk,the,marriage,,
de,familie,the,family,,
de,echtgenoot,the,husband,,
de,oom,the,uncle,,
de,echtgenote,the,wife,,
de,tante,the,aunt,,
de,pa,the,dad,,
de,ma,the,mom,,
***,Family,Family,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/23/),
de,opa,the,grandpa,,
de,oma,the,grandma,,
de,grootvader,the,grandfather,,
de,grootmoeder,the,grandmother,,
***,Health,Health,I,(/course/356041/dutch-duolingo-de-or-het-vocabulary/24/),
de,hand,the,hand,,
het,oog,the,eye,,
de,gezondheid,the,health,,
het,lichaam,the,body,,
het,hoofd,the,head,,
de,zorg,the,care,,
de,hulp,the,help,,
het,gezicht,the,face,,
het,noodgeval,the,emergency,,
de,behandeling,the,treatment,,
het,hart,the,heart,,
het,medicijn,the,medicine,,
het,bloed,the,blood,,
de,griep,the,flu,,
het,ziekenhuis,the,hospital,,
***,Health,Health,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/25/),
de,ambulance,the,ambulance,,
de,ziekte,the,disease,,
de,patiënt,the,patient,,
de,operatie,the,operation,,
het,haar,the,hair,,
de,huid,the,skin,,
de,voet,the,foot,,
de,pijn,the,pain,,
de,arts,the,doctor,,
het,virus,the,virus,,
het,dieet,the,diet,,
het,geneesmiddel,the,medication,,
het,zicht,the,sight,,
de,arm,the,arm,,
de,mond,the,mouth,,
***,Health,Health,III,(/course/356041/dutch-duolingo-de-or-het-vocabulary/26/),
het,been,the,leg,,
de,nek,the,neck,,
het,ongeluk,the,accident,,
de,hersenen,the,brain,,
de,vinger,the,finger,,
het,oor,the,ear,,
de,tand,the,tooth,,
de,tong,the,tongue,,
de,borst,the,chest,,
de,neus,the,nose,,
de,lip,the,lip,,
de,rug,the,back,,
de,toestand,the,condition,,
de,afspraak,the,appointment,,
de,verpleegkundige,the,nurse,,
***,Objects,Objects,I,(/course/356041/dutch-duolingo-de-or-het-vocabulary/27/),
het,tijdschrift,the,magazine,,
de,fles,the,bottle,,
de,tafel,the,table,,
de,lepel,the,spoon,,
de,kom,the,bowl,,
de,stoel,the,chair,,
het,bed,the,bed,,
het,raam,the,window,,
de,televisie,the,television,,
de,computer,the,computer,,
de,radio,the,radio,,
de,spiegel,the,mirror,,
de,klok,the,clock,,
de,mobiele,mobiele,telefoon	the,cellphone,
de,lamp,the,lamp,,
***,Objects,Objects,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/28/),
het,horloge,the,watch,,
het,bureau,the,desk,,
de,mand,the,basket,,
de,zeep,the,soap,,
de,doos,the,box,,
de,deur,the,door,,
het,beeldscherm,the,screen,,
de,portemonnee,the,wallet,,
het,laken,the,sheet,,
de,batterij,the,battery,,
het,scheermes,the,razor,,
de,tandpasta,the,toothpaste,,
de,telefoon,the,telephone,,
de,muur,the,wall,,
de,vloer,the,floor,,
***,Objects,Objects,III,(/course/356041/dutch-duolingo-de-or-het-vocabulary/29/),
de,paraplu,the,umbrella,,
het,wiel,the,wheel,,
het,dak,the,roof,,
de,tas,the,bag,,
de,sleutel,the,key,,
het,zwembad,the,swimming,pool,
het,ding,the,thing,,
de,kast,the,closet,,
de,brief,the,letter,,
de,bel,the,bell,,
de,schaar,the,scissors,,
het,glas,the,glass,,
de,pan,the,pan,,
het,papier,the,paper,,
de,beker,the,cup,,
***,Objects,Objects,IV,(/course/356041/dutch-duolingo-de-or-het-vocabulary/30/),
de,motor,the,engine/motor,,
het,voorwerp,the,object,,
de,machine,the,machine,,
het,stukje,the,piece,,
het,blad,the,sheet,,
het,potlood,the,pencil,,
de,wortel,the,root,,
de,ketting,the,chain/necklace,,
de,spons,the,sponge,,
de,roman,the,novel,,
de,poeder,the,powder,,
de,kam,the,comb,,
de,vork,the,fork,,
het,mes,the,knife,,
de,tandenborstel,the,toothbrush,,
***,Diminutives,Diminutives,I,(/course/356041/dutch-duolingo-de-or-het-vocabulary/31/),
het,kopje,the,cup,(dim.),
het,vraagje,the,question,(dim.),
het,telefoontje,the,call,(dim.),
het,citroentje,the,lemon,(dim.),
het,briefje,the,note,(dim.),
het,doosje,the,box,(dim.),
het,katje,the,kitten,,
het,belletje,the,bell,(dim.),
het,raampje,the,window,(dim.),
het,dingetje,the,thing,(dim.),
het,mannetje,the,male,(dim.),
het,gezinnetje,the,family,(dim.),
het,museumpje,the,museum,(dim.),
het,mandje,the,basket,(dim.),
het,kettinkje,the,necklace,(dim.),
***,Diminutives,Diminutives,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/32/),
het,huisje,the,house/cottage,(dim.),
het,glaasje,the,glass,(dim.),
het,koninkje,the,king,(dim.),
het,biertje,the,beer,(dim.),
het,jongetje,the,boy,(dim.),
het,blaadje,the,leaf,(dim.),
het,eitje,the,egg,(dim.),
het,omaatje,the,grandma,(dim.),
***,Travel,Travel,I,(/course/356041/dutch-duolingo-de-or-het-vocabulary/33/),
de,auto,the,car,,
de,fiets,the,bike,,
de,bus,the,bus,,
de,trein,the,train,,
de,motorfiets,the,motorcycle,,
de,metro,the,subway,,
de,koffer,the,suitcase,,
het,vliegtuig,the,airplane,,
de,vlucht,the,flight,,
het,vertrek,the,departure,,
de,aankomst,the,arrival,,
de,boot,the,boat,,
het,schip,the,ship,,
de,veerboot,the,ferry,,
de,zeilboot,the,sailboat,,
***,Travel,Travel,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/34/),
de,rugzak,the,backpack,,
het,avontuur,the,adventure,,
het,bezoek,the,visit,,
de,gids,the,guide,,
de,toerist,the,tourist,,
de,tram,the,tram,,
het,buitenland,the),overseas/abroad,,
het,zuiden,the,south,,
het,oosten,the,east,,
het,noorden,the,north,,
het,westen,the,west,,
het,paspoort,the,passport,,
het,vervoer,the,transportation,,
het,visum,the,visa,,
de,ambassade,the,embassy,,
***,Travel,Travel,III,(/course/356041/dutch-duolingo-de-or-het-vocabulary/35/),
de,bezienswaardigheid,the,sight,(landmark,/
de,taxi,the,taxi,,
de,kant,the,side/edge,,
***,People,People,I,(/course/356041/dutch-duolingo-de-or-het-vocabulary/36/),
de,persoon,the,person,,
de,baby,the,baby,,
de,vriend,the,friend,,
het,vriendje,the,boyfriend,,
de,vriendin,the,girlfriend/female,friend,
het,publiek,the,public,,
de,vijand,the,enemy,,
de,mens,the,human,,
het,comité,the,committee,,
de,conferentie,the,conference,,
de,cultuur,the,culture,,
de,stichting,the,foundation,,
de,bevolking,the,population,,
de,generatie,the,generation,,
het,dorp,the,village,,
***,People,People,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/37/),
het,individu,the,individual,,
de,dame,the,lady,,
de,burger,the,citizen,,
het,slachtoffer,the,victim,,
de,jeugd,the,youth,,
het,koppel,the,couple,,
de,relatie,the,relationship,,
de,weduwnaar,the,widower,,
de,weduwe,the,widow,,
de,Nederlander,the,Dutchman,,
de,Amerikaan,the,American,(male),
de,Spanjaard,the,Spaniard,(male),
de,Spaanse,the,Spaniard,(female),
de,Nederlandse,the,Dutchwoman,,
de,Amerikaanse,the,American,(female),
het,geslacht,the,gender,,
***,Nature,Nature,I,(/course/356041/dutch-duolingo-de-or-het-vocabulary/38/),
de,boom,the,tree,,
de,bloem,the,flower,,
de,tulp,the,tulip,,
het,gras,the,grass,,
het,hout,the,wood,,
het,bos,the,woods,,
de,plant,the,plant,,
de,zon,the,sun,,
de,maan,the,moon,,
de,aarde,the,earth,,
de,planeet,the,planet,,
de,ruimte,the),outer,space,
het,sterrenstelsel,the,galaxy,,
de,wereld,the,world,,
de,Melkweg,the,Milky,Way,
***,Nature,Nature,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/39/),
het,zonnestelsel,the,solar,system,
de,asteroïde,the,asteroid,,
de,ster,the,star,,
het,universum,the,universe,,
de,rivier,the,river,,
de,berg,the,mountain,,
het,landschap,the,landscape,,
de,grot,the,cave,,
de,kloof,the,gorge,,
de,heuvel,the,hill,,
de,woestijn,the,desert,,
de,klif,the,cliff,,
het,veld,the,field,,
het,gewas,the,crop,,
de,grond,the,soil,,
***,Nature,Nature,III,(/course/356041/dutch-duolingo-de-or-het-vocabulary/40/),
de,vulkaan,the,volcano,,
de,steen,the,stone,,
het,klimaat,the,climate,,
het,ijs,the,ice,,
de,lucht,the,air,,
de,natuur,the,nature,,
de,kou,the,cold,,
de,hitte,the,heat,,
de,rook,the,smoke,,
het,gas,the,gas,,
het,stof,the,dust,,
het,zand,the,sand,,
het,licht,the,light,,
de,atmosfeer,the,atmosphere,,
het,vuur,the,fire,,
***,Education,Education,I,(/course/356041/dutch-duolingo-de-or-het-vocabulary/41/),
de,leraar,the,teacher,,
de,aantekening,the,note,,
de,pen,the,pen,,
het,onderwijs,the,education,,
de,school,the,school,,
de,opvoeding,the,upbringing,,
het,programma,the,program,,
de,bibliotheek,the,library,,
het,gedeelte,the,section,,
de,cursus,the,course,,
de,toets,the,test,,
de,aanmelding,the,application,,
de,studie,the,study/major,,
het,voorbeeld,the,example,,
de,klas,the,class,(group,of
***,Education,Education,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/42/),
de,les,the,class,(lesson),
het,woord,the,word,,
de,kennis,the,knowledge,,
het,hoofdstuk,the,chapter,,
de,oefening,the,exercise,,
het,instituut,the,institute,,
het,idee,the,idea,,
de,universiteit,the,university,,
de,presentatie,the,presentation,,
de,uitleg,the,explanation,,
de,voorbereiding,the,preparation,,
de,lezing,the,lecture,(general),
de,professor,the,professor,,
het,college,the,lecture,(university),
de,moeilijkheid,the,difficulty,,
***,Education,Education,III,(/course/356041/dutch-duolingo-de-or-het-vocabulary/43/),
de,training,the,training,,
de,doelstelling,the,objective,,
de,betekenis,the,meaning,,
de,zin,the,sentence,,
de,pagina,the,page,,
het,document,the,document,,
het,verslag,the,report,,
de,wiskunde,the,mathematics,,
de,geneeskunde,the,medicine,(study,of)
de,taalkunde,the,linguistics,,
de,geschiedenis,the,history,,
de,aardrijkskunde,the,geography,,
de,sociologie,the,sociology,,
de,filosofie,the,philosophy,,
de,natuurkunde,the,physics,,
***,Education,Education,IV,(/course/356041/dutch-duolingo-de-or-het-vocabulary/44/),
de,scheikunde,the,chemistry,,
de,literatuurwetenschap,the,literary,science,
het,huiswerk,the,homework,,
***,Weather,Weather,I,(/course/356041/dutch-duolingo-de-or-het-vocabulary/45/),
het,weer,the,weather,,
de,regen,the,rain,,
de,regenbui,the,shower,,
de,wind,the,wind,,
de,sneeuw,the,snow,,
de,orkaan,the,hurricane,,
de,tornado,the,tornado,,
de,overstroming,the,flood,,
de,hagel,the,hail,,
de,graad,the,degree,,
de,temperatuur,the,temperature,,
de,thermometer,the,thermometer,,
de,regenboog,the,rainbow,,
de,vorst,the,frost,,
de,wolk,the,cloud,,
***,Weather,Weather,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/46/),
de,mist,the,mist,,
de,storm,the,storm,,
de,bliksem,the,lightning,,
de,donder,the,thunder,,
het,onweer,the,thunderstorm,,
de,weersvoorspelling,the,weather,forecast,
***,Abstract,Abstract,Nouns,(1),I
de,liefde,the,love,,
de,schoonheid,the,beauty,,
het,kwaad,the,evil,,
het,goede,the,good,,
de,eer,the,honor,,
de,hoop,the,hope,,
de,humor,the,humor,,
de,zelfbeheersing,the,self-control,,
het,vermogen,the,ability,,
de,chaos,the,chaos,,
het,leven,the,life,,
de,dood,the,death,,
de,fascinatie,the,fascination,,
de,criminaliteit,the,crime,,
het,geloof,the,belief,,
***,Abstract,Abstract,Nouns,(1),II
de,energie,the,energy,,
de,verbetering,the,improvement,,
de,vrijheid,the,freedom,,
de,droom,the,dream,,
de,verbeelding,the,imagination,,
de,informatie,the,information,,
het,geweten,the,conscience,,
de,behoefte,the,need,,
de,vrede,the,peace,,
de,mening,the,opinion,,
de,armoede,the,poverty,,
de,slaap,the,sleep,,
de,waarheid,the,truth,,
de,gedachte,the,thought,,
de,gastvrijheid,the,hospitality,,
***,Abstract,Abstract,Nouns,(1),III
de,vaardigheid,the,skill,,
de,werkelijkheid,the,reality,,
de,moeite,the,effort,,
de,eerlijkheid,the,honesty,,
het,plezier,the,fun,,
de,vriendelijkheid,the,friendliness,,
de,mogelijkheid,the,possibility,,
de,motivatie,the,motivation,,
de,kindertijd,the,childhood,,
het,geduld,the,patience,,
de,gelegenheid,the,opportunity,,
het,vertrouwen,the,trust,,
het,punt,the,point,,
de,macht,the,power,,
het,verschil,the,difference,,
***,Abstract,Abstract,Nouns,(1),VI
het,belang,the,importance,,
het,medelijden,the,sympathy,,
het,succes,the,success,,
***,Geography,Geography,(/course/356041/dutch-duolingo-de-or-het-vocabulary/51/),,
de,zee,the,sea,,
de,vakantie,the,vacation,,
de,kaart,the,map,,
de,oceaan,the,ocean,,
de,bergketen,the,mountain,range,
het,continent,the,continent,,
de,richting,the,direction,,
het,halfrond,the,hemisphere,,
de,Middellandse,Middellandse,Zee	the,Mediterranean,Sea
de,Rijn,the,Rhine,,
***,Communication,Communication,(/course/356041/dutch-duolingo-de-or-het-vocabulary/52/),,
de,opmerking,the,comment,,
het,netwerk,the,network,,
de,pers,the,press,,
de,tekst,the,text,,
het,verhaal,the,story,,
de,communicatie,the,communication,,
het,nieuws,the,news,,
het,bericht,the,message,,
het,internet,the,Internet,,
de,post,the,mail,,
de,postzegel,the,stamp,,
de,ansichtkaart,the,postcard,,
de,toegang,the,access,,
de,journalist,the,journalist,,
de,journaliste,the,journalist,(female),
***,Communication,Communication,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/53/),
de,sms,the,text,message,
het,interview,the,interview,,
het,gesprek,the,conversation,,
de,samenvatting,the,summary,,
de,vertaling,the,translation,,
het,woordenboek,the,dictionary,,
het,symbool,the,symbol,,
de,taal,the,language,,
het,dialect,the,dialect,,
het,Duits,the,German,(language),
het,Frans,the,French,(language),
het,Italiaans,the,Italian,(language),
