De / Het,Dutch,English,,Source,Level
***,Government,Government,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/68/),
de,campagne,the,campaign,,
de,stem,the,vote,,
de,partij,the,party,,
het,debat,the,debate,,
het,argument,the,argument,,
het,standpunt,the,point,of,view
het,gelijk,the,right,,
de,politiek,the,politics,,
de,kandidaat,the,candidate,,
de,eerste,eerste,kamer	the,first,chamber
de,tweede,tweede,kamer	the,second,chamber
het,lid,the,member,,
de,leider,the,leader,,
de,lijst,the,list,,
de,voorzitter,the,chairman,,
***,Government,Government,III,(/course/356041/dutch-duolingo-de-or-het-vocabulary/69/),
de,abdicatie,the,abdication,,
de,prinses,the,princess,,
de,prins,the,princess,,
de,koningin,the,queen,,
de,kroning,the,coronation,,
de,kroon,the,crown,,
de,taak,the,task,,
het,koninkrijk,the,kingdom,,
het,parlement,the,parliament,,
de,steun,the,support,,
de,monarchie,the,monarchy,,
de,kiezer,the,voter,,
de,republiek,the,republic,,
de,spanning,the,tension,,
de,staking,the,strike,,
***,Government,Government,IV,(/course/356041/dutch-duolingo-de-or-het-vocabulary/70/),
de,crisis,the,crisis,,
het,confict,the,conflict,,
het,wapen,the,weapon,,
het,geweld,the,violence,,
de,luchtmacht,the,air,force,
de,zeemacht,the,navy,,
de,arrestatie,the,arrest,,
de,oorzaak,the,cause,,
de,bedreiging,the,threat,,
de,betrekking,the,relationship,,
de,petitie,the,petition,,
de,demonstratie,the,protest,,
de,handtekening,the,signature,,
het,besluit,the,decision,,
het,plan,the,plan,,
de,rechtbank,the,court,,
***,Events,Events,(/course/356041/dutch-duolingo-de-or-het-vocabulary/71/),,
de,gebeurtenis,the,event,,
het,verkeer,the,traffic,,
de,levering,the,delivery,,
de,actie,the,action,,
de,geboorte,the,birth,,
de,start,the,start,,
het,feest,the,party,,
de,kermis,the,fair,,
de,veldslag,the,battle,,
het,verleden,the,past,,
de,aanval,the,attack,,
het,rijk,the,empire,,
de,onafhankelijkheid,the,independence,,
de,toekomst,the,future,,
***,Events,Events,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/72/),
de,opstand,the,rebellion,,
de,beeldenstorm,the,iconoclasm,,
de,scheepvaart,the,shipping,,
de,wereldoorlog,the,world,war,
***,Abstract,Abstract,Nouns,(2),(/course/356041/dutch-duolingo-de-or-het-vocabulary/73/)
het,respect,the,respect,,
het,voordeel,the,advantage,,
de,situatie,the,situation,,
de,religie,the,religion,,
de,toestemming,the,permission,,
de,mislukking,the,failure,,
de,oorsprong,the,origin,,
het,geheim,the,secret,,
de,ervaring,the,experience,,
de,angst,the,fear,,
de,twijfel,the,doubt,,
de,haat,the,hate,,
het,bestaan,the,existence,,
de,verantwoordelijkheid,the,responsibility,,
de,verrassing,the,surprise,,
***,Abstract,Abstract,Nouns,(2),II
de,traditie,the,tradition,,
de,fout,the,mistake,,
de,gunst,the,favor,,
de,houding,the,attitude,,
het,gevaar,the,danger,,
de,herinnering,the,memory,,
het,geluk,the,fortune,,
de,gevoeligheid,the,sensitivity,,
de,woede,the,anger,,
de,teleurstelling,the,disappointment,,
de,verlegenheid,the,shyness,,
de,verwarring,the,confusion,,
de,nieuwsgierigheid,the,curiosity,,
de,eenzaamheid,the,loneliness,,
de,koppigheid,the,stubbornness,,
***,Abstract,Abstract,Nouns,(2),III
de,wanhoop,the,despair,,
het,ongeloof,the,disbelief,,
de,opwinding,the,excitement,,
de,vriendschap,the,friendship,,
de,ellende,the,misery,,
de,ijdelheid,the,vanity,,
de,hebzucht,the,greed,,
de,jaloezie,the,envy,,
de,luiheid,the,laziness,,
de,vraatzucht,the,gluttony,,
***,Abstract,Abstract,Nouns,(2),IV
de,moed,the,bravery,,
de,wijsheid,the,wisdom,,
de,rechtvaardigheid,the,justice,,
de,matigheid,the,moderation,,
de,deugd,the,virtue,,
de,zonde,the,sin,,
de,vrijgevigheid,the,generosity,,
***,Dutch,Dutch,"Geography,",Landmarks,&
de,provincie,the,province,,
de,dijk,the,dike,,
de,polder,the,polder,,
de,gracht,the,canal,(city),
de,zeehond,the,seal,,
het,duin,the,dune,,
de,vuurtoren,the,lighthouse,,
de,zeemeeuw,the,seagull,,
de,file,the,traffic,jam,
de,snelweg,the,highway,,
het,verkeersprobleem,the,traffic,problem,
de,vertraging,the,delay,,
de,verkeersinformatie,the,traffic,report,
de,spits,the,rush,hour,
***,Dutch,Dutch,"Baking,",Food,and
de,vla,the,custard,,
de,hagelslag,the,hagelslag,(chocolate,sprinkles)
de,appelflap,the,apple,turnover,
het,poffertje,the,poffertje,,
de,vlaai,the,flan,,
de,bakkerij,the,bakery,,
de,stroopwafel,the,stroopwafel,,
de,stamppot,the,mashed,potato,stew
het,bakje,bakje,troost	the,cup,of
het,eetcafé,the,bistro,,
de,pannenkoek,the,pancake,,
de,rookworst,the,smoked,sausage,
het,café,the,cafe,,
de,kroket,the,croquette,,
de,frikandel,the,frikandel,,
***,Dutch,Dutch,"Baking,",Food,and
de,snackbar,the,snack,bar,
de,friet,the,fries,,
de,portie,the,portion,,
de,brasserie,the,brasserie,,
de,kroeg,the,pub,,
de,haring,the,herring,,
de,ui,the,onion,,
de,kraam,the,market,stall,
de/het,drop,the,licorice,,
het,snoep,the,candy,,
